ERCC AMB Expected,Subpool,Mix1Conc.Attomoles_ul,Mix2Conc.Attomoles_ul
ERCC-00002,d,15000,30000
ERCC-00003,d,937.5,1875
ERCC-00004,a,7500,1875
ERCC-00007,NA,0,0
ERCC-00009,b,937.5,937.5
ERCC-00012,c,0.11444092,0.17166138
ERCC-00013,d,0.91552734,1.83105469
ERCC-00014,d,3.66210938,7.32421875
ERCC-00016,c,0.22888184,0.34332275
ERCC-00017,a,0.11444092,0.02861023
ERCC-00018,NA,0,0
ERCC-00019,a,29.296875,7.32421875
ERCC-00022,d,234.375,468.75
ERCC-00023,NA,0,0
ERCC-00024,c,0.22888184,0.34332275
ERCC-00025,b,58.59375,58.59375
ERCC-00028,a,3.66210938,0.91552734
ERCC-00031,b,1.83105469,1.83105469
ERCC-00033,a,1.83105469,0.45776367
ERCC-00034,b,7.32421875,7.32421875
ERCC-00035,b,117.1875,117.1875
ERCC-00039,c,3.66210938,5.49316406
ERCC-00040,c,0.91552734,1.37329102
ERCC-00041,d,0.22888184,0.45776367
ERCC-00042,b,468.75,468.75
ERCC-00043,d,468.75,937.5
ERCC-00044,c,117.1875,175.78125
ERCC-00046,d,3750,7500
ERCC-00048,d,0.01430512,0.02861023
ERCC-00051,b,58.59375,58.59375
ERCC-00053,b,29.296875,29.296875
ERCC-00054,c,14.6484375,21.9726563
ERCC-00057,c,0.01430512,0.02145767
ERCC-00058,c,1.83105469,2.74658203
ERCC-00059,d,14.6484375,29.296875
ERCC-00060,b,234.375,234.375
ERCC-00061,d,0.05722046,0.11444092
ERCC-00062,a,58.59375,14.6484375
ERCC-00067,b,3.66210938,3.66210938
ERCC-00069,d,1.83105469,3.66210938
ERCC-00071,c,58.59375,87.890625
ERCC-00073,b,0.91552734,0.91552734
ERCC-00074,c,15000,22500
ERCC-00075,b,0.01430512,0.01430512
ERCC-00076,c,234.375,351.5625
ERCC-00077,d,3.66210938,7.32421875
ERCC-00078,d,29.296875,58.59375
ERCC-00079,d,58.59375,117.1875
ERCC-00081,d,0.22888184,0.45776367
ERCC-00083,a,0.02861023,0.00715256
ERCC-00084,c,29.296875,43.9453125
ERCC-00085,a,7.32421875,1.83105469
ERCC-00086,d,0.11444092,0.22888184
ERCC-00092,a,234.375,58.59375
ERCC-00095,a,117.1875,29.296875
ERCC-00096,b,15000,15000
ERCC-00097,a,0.45776367,0.11444092
ERCC-00098,c,0.05722046,0.08583069
ERCC-00099,c,14.6484375,21.9726563
ERCC-00104,b,0.22888184,0.22888184
ERCC-00108,a,937.5,234.375
ERCC-00109,b,0.91552734,0.91552734
ERCC-00111,c,468.75,703.125
ERCC-00112,d,117.1875,234.375
ERCC-00113,c,3750,5625
ERCC-00116,a,468.75,117.1875
ERCC-00117,b,0.05722046,0.05722046
ERCC-00120,c,0.91552734,1.37329102
ERCC-00123,a,0.22888184,0.05722046
ERCC-00126,b,14.6484375,14.6484375
ERCC-00128,NA,0,0
ERCC-00130,a,30000,7500
ERCC-00131,a,117.1875,29.296875
ERCC-00134,a,1.83105469,0.45776367
ERCC-00136,a,1875,468.75
ERCC-00137,d,0.91552734,1.83105469
ERCC-00138,b,0.11444092,0.11444092
ERCC-00142,b,0.22888184,0.22888184
ERCC-00143,c,3.66210938,5.49316406
ERCC-00144,a,29.296875,7.32421875
ERCC-00145,c,937.5,1406.25
ERCC-00147,a,0.91552734,0.22888184
ERCC-00148,b,14.6484375,14.6484375
ERCC-00150,b,3.66210938,3.66210938
ERCC-00154,a,7.32421875,1.83105469
ERCC-00156,a,0.45776367,0.11444092
ERCC-00157,c,7.32421875,10.9863281
ERCC-00158,b,0.45776367,0.45776367
ERCC-00160,d,7.32421875,14.6484375
ERCC-00162,c,58.59375,87.890625
ERCC-00163,d,14.6484375,29.296875
ERCC-00164,c,0.45776367,0.68664551
ERCC-00165,d,58.59375,117.1875
ERCC-00168,d,0.45776367,0.91552734
ERCC-00170,a,14.6484375,3.66210938
ERCC-00171,b,3750,3750
