"","Feature","MnCnt","Pval","LogPval","F.stat","Fold","Den.df"
"Sim0.5Fold1","Sim0.5Fold1","1.5","0.189649401928654","-1.6625781644053","2.07681109771523","0.5","3.56159180019558"
"Sim0.5Fold2","Sim0.5Fold2","2.16666666666667","0.10930467854198","-2.21361608012305","3.29258188151823","0.5","3.56159180019558"
"Sim0.5Fold3","Sim0.5Fold3","2.66666666666667","0.296329104090206","-1.21628460414975","1.25829118311438","0.5","3.56159180019558"
"Sim0.5Fold4","Sim0.5Fold4","5.83333333333333","0.0436280892584362","-3.13205408701977","5.85157134029802","0.5","3.56159180019558"
"Sim0.5Fold5","Sim0.5Fold5","7.16666666666667","0.993249944830913","-0.00677293983143968","7.64508204379246e-05","0.5","3.56159180019558"
"Sim0.5Fold6","Sim0.5Fold6","6.83333333333333","0.220922150189965","-1.50994490110694","1.78005571871794","0.5","3.56159180019558"
"Sim0.5Fold7","Sim0.5Fold7","10.5","0.0270641590469718","-3.60954497082236","7.47744296769375","0.5","3.56159180019558"
"Sim0.5Fold8","Sim0.5Fold8","12.8333333333333","0.266143593272445","-1.32371929152068","1.44156797179967","0.5","3.56159180019558"
"Sim0.5Fold9","Sim0.5Fold9","18","0.00659438349415566","-5.02153697797766","13.7543976101819","0.5","3.56159180019558"
"Sim0.5Fold10","Sim0.5Fold10","23.3333333333333","0.381591252988178","-0.963405261609455","0.8630299947142","0.5","3.56159180019558"
"Sim0.5Fold11","Sim0.5Fold11","26.3333333333333","0.0238912717339985","-3.73424208616051","7.93915873426076","0.5","3.56159180019558"
"Sim0.5Fold12","Sim0.5Fold12","36.1666666666667","0.0150312958695315","-4.19762086006952","9.80144582734279","0.5","3.56159180019558"
"Sim0.5Fold13","Sim0.5Fold13","50.8333333333333","0.0340662069864468","-3.37944938352021","6.666586315292","0.5","3.56159180019558"
"Sim0.5Fold14","Sim0.5Fold14","38.1666666666667","0.243332976081376","-1.41332450166762","1.60117660245331","0.5","3.56159180019558"
"Sim0.5Fold15","Sim0.5Fold15","67.3333333333333","0.00299660408712706","-5.8102756024347","18.4567840556419","0.5","3.56159180019558"
"Sim0.5Fold16","Sim0.5Fold16","55","0.0434115577475881","-3.13702956578123","5.86740281485555","0.5","3.56159180019558"
"Sim0.5Fold17","Sim0.5Fold17","59.5","0.140004919333674","-1.96607771889249","2.71825929129659","0.5","3.56159180019558"
"Sim0.5Fold18","Sim0.5Fold18","70.5","0.00424517384051206","-5.46197250822881","16.2571619975622","0.5","3.56159180019558"
"Sim0.5Fold19","Sim0.5Fold19","89.3333333333333","0.00113324654210659","-6.78266871945475","25.8000048757847","0.5","3.56159180019558"
"Sim0.5Fold20","Sim0.5Fold20","123.5","0.00544447121358099","-5.21315464143964","14.8069495731057","0.5","3.56159180019558"
"Sim0.5Fold21","Sim0.5Fold21","100.666666666667","0.00304982727334178","-5.79267032165767","18.3406130949285","0.5","3.56159180019558"
"Sim0.5Fold22","Sim0.5Fold22","108.5","0.00389006225611983","-5.54933011733593","16.7897204603965","0.5","3.56159180019558"
"Sim0.5Fold23","Sim0.5Fold23","134.333333333333","0.00803819991944393","-4.82355011147493","12.7224746833492","0.5","3.56159180019558"
"Sim0.5Fold24","Sim0.5Fold24","141.666666666667","0.000553462049094247","-7.49931737348834","32.5673690895658","0.5","3.56159180019558"
"Sim0.5Fold25","Sim0.5Fold25","127.5","0.00303693877749425","-5.7969052519975","18.368507947896","0.5","3.56159180019558"
"Sim0.5Fold26","Sim0.5Fold26","178.833333333333","0.000858433681771631","-7.06040112956618","28.2708873995114","0.5","3.56159180019558"
"Sim0.5Fold27","Sim0.5Fold27","227.666666666667","0.00238578798238616","-6.03822581827131","20.0113646094131","0.5","3.56159180019558"
"Sim0.5Fold28","Sim0.5Fold28","199.833333333333","0.0245878392786374","-3.70550329653604","7.831322821816","0.5","3.56159180019558"
