"","Feature","MnCnt","Pval","LogPval","F.stat","Fold","Den.df"
"Sim0.5Fold1","Sim0.5Fold1","25.25","0.00601706895683636","-5.11315502247448","8.86027269484608","0.5","21.4948894519153"
"Sim0.5Fold2","Sim0.5Fold2","45.625","0.000167047132806272","-8.6972345529947","18.955606360716","0.5","21.4948894519153"
"Sim0.5Fold3","Sim0.5Fold3","50.375","0.00602393046833914","-5.11201533099154","8.85751002919018","0.5","21.4948894519153"
"Sim0.5Fold4","Sim0.5Fold4","77.875","8.61722677025109e-06","-11.6617472454403","29.6945008058569","0.5","21.4948894519153"
"Sim0.5Fold5","Sim0.5Fold5","110.25","1.32084526151112e-05","-11.2346535836787","27.9963652899863","0.5","21.4948894519153"
"Sim0.5Fold6","Sim0.5Fold6","140.125","1.21466982127099e-05","-11.3184531771493","28.3253077600662","0.5","21.4948894519153"
"Sim0.5Fold7","Sim0.5Fold7","185.75","3.10616794470865e-08","-17.2872909496289","57.8655505361617","0.5","21.4948894519153"
"Sim0.5Fold8","Sim0.5Fold8","240.75","5.13103367137907e-09","-19.0879587026657","69.631678643508","0.5","21.4948894519153"
"Sim0.5Fold9","Sim0.5Fold9","309.375","3.76927138130339e-09","-19.3963841217239","71.8070057714319","0.5","21.4948894519153"
"Sim0.5Fold10","Sim0.5Fold10","397.125","2.2750546551996e-11","-24.5064319465566","115.980529526166","0.5","21.4948894519153"
"Sim0.5Fold11","Sim0.5Fold11","513.75","7.67040394145603e-12","-25.593651836818","127.695960945009","0.5","21.4948894519153"
"Sim0.5Fold12","Sim0.5Fold12","619","4.52979395388018e-13","-28.4229297552568","162.909624727838","0.5","21.4948894519153"
"Sim0.5Fold13","Sim0.5Fold13","737.875","4.04260956754917e-13","-28.5367157929125","164.483213546045","0.5","21.4948894519153"
"Sim0.5Fold14","Sim0.5Fold14","898.875","4.96075505872106e-14","-30.6346333431847","195.958697282603","0.5","21.4948894519153"
"Sim0.5Fold15","Sim0.5Fold15","1080.875","4.69349928925981e-15","-32.9925979735465","237.57429977472","0.5","21.4948894519153"
"Sim0.5Fold16","Sim0.5Fold16","1204.125","1.17005138666586e-16","-36.6843138198323","318.916030374895","0.5","21.4948894519153"
"Sim0.5Fold17","Sim0.5Fold17","1419.75","1.25787699509874e-16","-36.611936112548","317.102309550994","0.5","21.4948894519153"
"Sim0.5Fold18","Sim0.5Fold18","1576.625","2.5579186876367e-16","-35.9021675727292","299.81319087647","0.5","21.4948894519153"
"Sim0.5Fold19","Sim0.5Fold19","1802.375","2.50558252433639e-18","-40.528010421745","430.344479205628","0.5","21.4948894519153"
"Sim0.5Fold20","Sim0.5Fold20","2036","7.41796730971546e-18","-39.4426266017217","395.662422273905","0.5","21.4948894519153"
