"Feature","NIT_1","NIT_2","NIT_3","CTL_1","CTL_2","CTL_3"
"ERCC-00002",22962,33296,21958,47850,36033,40933
"ERCC-00003",1971,2666,1874,3965,2833,3319
"ERCC-00004",6638,9216,6264,1657,1210,1393
"ERCC-00009",1026,1383,920,1091,853,905
"ERCC-00013",1,0,0,5,5,4
"ERCC-00019",27,48,16,9,9,10
"ERCC-00022",192,288,185,448,317,375
"ERCC-00025",57,103,57,93,55,53
"ERCC-00028",5,3,2,3,0,0
"ERCC-00031",2,3,2,3,2,3
"ERCC-00034",23,34,27,20,25,17
"ERCC-00035",97,136,93,112,70,93
"ERCC-00039",8,5,0,2,8,3
"ERCC-00040",4,2,4,0,0,4
"ERCC-00042",755,1109,761,828,596,702
"ERCC-00043",997,1437,965,2119,1476,1701
"ERCC-00044",38,41,26,36,28,41
"ERCC-00046",4565,6315,4317,10415,7303,8261
"ERCC-00051",16,26,22,12,12,17
"ERCC-00053",37,56,46,41,35,36
"ERCC-00054",8,11,11,11,9,11
"ERCC-00058",2,4,1,8,2,3
"ERCC-00059",14,14,25,26,27,27
"ERCC-00060",455,629,427,524,334,431
"ERCC-00062",114,145,84,31,31,30
"ERCC-00067",1,2,0,0,1,3
"ERCC-00069",3,7,2,5,4,6
"ERCC-00071",48,66,66,86,57,76
"ERCC-00074",17320,24515,16333,25169,17621,21199
"ERCC-00076",232,306,222,347,251,310
"ERCC-00077",1,2,3,3,5,1
"ERCC-00078",49,79,48,118,82,77
"ERCC-00079",78,126,79,174,129,153
"ERCC-00084",30,42,29,65,50,52
"ERCC-00085",4,7,15,2,4,3
"ERCC-00092",364,533,363,86,76,75
"ERCC-00095",59,66,46,8,4,7
"ERCC-00096",12345,17339,11951,12968,9558,10645
"ERCC-00099",14,41,17,57,41,54
"ERCC-00108",1451,2217,1410,429,322,342
"ERCC-00111",623,962,639,911,724,777
"ERCC-00112",64,85,77,132,88,109
"ERCC-00113",4570,6282,4384,7007,5273,5894
"ERCC-00116",153,236,164,43,33,25
"ERCC-00126",0,2,0,5,1,0
"ERCC-00130",27431,36404,25642,6237,4598,5115
"ERCC-00131",138,170,150,43,18,39
"ERCC-00136",1011,1316,1041,196,130,158
"ERCC-00137",0,2,2,2,1,1
"ERCC-00143",8,5,5,9,4,8
"ERCC-00144",21,35,24,2,6,3
"ERCC-00145",899,1382,885,1541,1129,1271
"ERCC-00147",3,2,1,2,0,2
"ERCC-00148",14,24,10,18,9,15
"ERCC-00150",2,3,0,4,1,0
"ERCC-00154",6,11,3,0,2,0
"ERCC-00157",16,19,13,15,18,10
"ERCC-00160",18,28,18,46,30,37
"ERCC-00162",67,92,68,98,85,80
"ERCC-00163",17,23,24,38,25,36
"ERCC-00165",80,104,53,109,105,90
"ERCC-00168",0,4,0,0,3,1
"ERCC-00170",21,27,22,5,3,3
"ERCC-00171",4475,6389,4328,5340,3750,4215
"A1BG",5,8,20,9,12,22
"A1CF",181,324,302,760,554,498
"A1I3",54504,85000,60811,208798,213073,121447
"A2LD1",222,205,188,198,263,170
"A2M",3827,4859,2584,529,1323,1052
"A3GALT2",87,48,66,10,6,5
"AA926063",5,4,3,0,0,0
"AAAS",111,87,120,82,93,71
"AACS",47,34,45,168,246,91
"AADAC",586,688,696,903,860,766
"AADACL1",162,128,143,111,85,141
"AADAT",1290,1772,1618,2998,2546,1881
"AAGAB",97,57,93,74,85,66
"AAK1",82,64,64,77,68,56
"AAMP",1195,1205,1141,1668,1470,1136
"AARS",2736,2743,2523,4783,3312,2863
"AARS2",112,110,106,183,165,128
"AARSD1",196,162,187,168,178,140
"AASDHPPT",301,321,282,427,343,264
"AASS",3253,3135,3113,3576,2042,3331
"AATF",109,140,100,158,110,95
"AATK",16,24,28,38,25,16
"ABAT",662,1173,778,1779,1823,1447
"ABCA1",1304,1696,1540,1420,1291,1215
"ABCA13",5,2,0,2,1,0
"ABCA17",4,6,3,9,3,1
"ABCA2",551,457,518,938,818,622
"ABCA4",10,6,7,7,6,7
"ABCA5",33,47,42,49,26,21
"ABCA7",98,78,65,38,39,28
"ABCB10",290,220,268,266,247,197
"ABCB11",1704,1674,1666,3100,2006,1402
"ABCB1A",477,431,420,164,297,141
"ABCB1B",6041,5493,5310,17,100,37
"ABCB4",1973,1426,1571,1865,1028,1096
"ABCB6",505,508,489,867,748,553
"ABCB7",159,211,204,323,299,230
"ABCB8",204,210,197,190,232,133
"ABCB9",13,8,16,16,15,9
"ABCC1",104,63,113,38,40,24
"ABCC10",87,64,80,143,149,129
"ABCC2",3241,3384,2840,5054,9171,3021
"ABCC3",217,143,298,86,67,70
"ABCC4",181,124,174,111,160,92
"ABCC5",363,266,273,169,143,136
"ABCC6",2654,3044,2931,6322,6943,5378
"ABCC8",45,42,44,72,82,50
"ABCC9",405,339,416,201,288,122
"ABCD1",363,396,377,665,701,452
"ABCD2",32,7,10,9,12,7
"ABCD3",1426,1445,1709,2322,2083,1516
"ABCD4",75,59,71,74,58,41
"ABCE1",1067,1019,1069,993,901,859
"ABCF1",881,919,871,849,653,616
"ABCF2",333,357,331,401,355,325
"ABCF3",513,494,495,750,589,550
"ABCG1",547,406,457,163,186,100
"ABCG2",198,217,120,192,151,52
"ABCG3",779,1344,952,1372,871,992
"ABCG3L1",47,39,31,31,23,16
"ABCG3L3",114,85,80,56,34,56
"ABCG3L4",61,43,56,30,21,20
"ABCG4",9,3,7,1,1,0
"ABCG5",217,148,95,379,495,515
"ABCG8",61,56,43,275,253,453
"ABHD1",168,205,200,274,347,245
"ABHD10",52,46,37,40,32,31
"ABHD12",295,264,292,255,262,167
"ABHD13",319,306,327,362,307,365
"ABHD14A",32,42,32,80,79,53
"ABHD14B",1158,1440,1349,3636,3092,2544
"ABHD15",89,77,96,189,147,159
"ABHD16A",405,369,428,290,376,205
"ABHD2",1275,1839,1062,2719,2479,1512
"ABHD3",75,0,2,6,3,0
"ABHD4",806,676,717,726,628,422
"ABHD5",156,186,184,494,553,124
"ABHD6",357,303,335,406,436,303
"ABHD8",35,29,28,25,32,16
"ABI1",171,155,161,179,170,123
"ABI2",125,91,121,67,56,52
"ABI3",193,178,186,123,96,53
"ABL1",487,466,500,485,709,459
"ABL2",43,47,50,27,24,10
"ABLIM2",9,7,4,12,20,3
"ABLIM3",352,286,384,217,64,159
"ABO",2,0,1,1,17,1
"ABO2",5,8,6,6,6,3
"ABP1",28,15,23,3,0,0
"ABR",386,260,342,104,103,46
"ABT1",94,106,86,148,100,107
"ABTB1",226,218,240,414,395,277
"ABTB2",264,367,344,831,549,444
"ACAA1A",461,659,498,953,978,816
"ACAA2",3580,3676,3372,5321,4864,3646
"ACACA",1235,1688,1809,1556,1786,1632
"ACACB",257,356,450,1113,1261,659
"ACAD10",82,154,150,215,202,138
"ACAD11",1748,2513,2255,2755,2287,1831
"ACAD9",660,802,672,753,708,560
"ACADL",3390,3234,3154,4169,3717,3214
"ACADM",3510,4594,3611,6893,6187,4531
"ACADS",917,1078,949,1638,1584,1243
"ACADSB",470,434,532,1128,740,796
"ACADVL",2502,2614,2306,3316,3200,2565
"ACAP1",71,53,69,33,28,13
"ACAP2",343,333,419,296,244,172
"ACAP3",202,180,170,254,268,230
"ACAT1",2075,2182,1639,2591,2871,2127
"ACAT3",115,142,279,592,553,489
"ACBD3",522,472,505,541,456,326
"ACBD4",125,161,157,283,255,212
"ACBD5",343,405,353,693,535,396
"ACBD6",135,135,112,152,143,113
"ACCN1",3,8,3,8,16,1
"ACCN2",6,7,2,3,2,1
"ACCN5",2,4,3,2,2,0
"ACD",124,116,121,195,170,143
"ACE",60,51,49,6,13,10
"ACE2",10,10,6,12,6,3
"ACER2",874,727,784,321,307,251
"ACIN1",1000,807,910,1134,1130,819
"ACLY",1178,1685,2284,5247,9885,3330
"ACMSD",78,63,73,132,54,88
"ACN9",10,10,3,14,4,8
