"","MnCnt","Pval","LogPval","F.stat","Fold","Den.df"
"ERCC-00002",28199,0.00217023919075725,-6.13291789134881,20.7499111893315,0.5,3.53528150935682
"ERCC-00003",2264.16666666667,0.000472519696778293,-7.65743112559606,34.383904542762,0.5,3.53528150935682
"ERCC-00004",3420,5.76979804482722e-06,-12.0628734789533,125.506017525011,4,3.53528150935682
"ERCC-00009",887,0.885225059300938,-0.121913362009218,0.0222943554669221,1,3.53528150935682
"ERCC-00013",2.16666666666667,0.661883192262651,-0.412666185346841,0.207087581861272,0.5,3.53528150935682
"ERCC-00019",20.1666666666667,0.00172134662763975,-6.36464837143478,22.4820435428798,4,3.53528150935682
"ERCC-00022",260,0.00117156884236904,-6.74941153745016,25.6060135966334,0.5,3.53528150935682
"ERCC-00025",51.8333333333333,0.774506902624869,-0.255528706802283,0.0881935887565731,1,3.53528150935682
"ERCC-00028",2.83333333333333,0.00761938967856704,-4.87705900716757,13.0262679044656,4,3.53528150935682
"ERCC-00031",3.5,0.694148738210865,-0.365069021250056,0.167010435427105,1,3.53528150935682
"ERCC-00033",1.16666666666667,0.106940083566561,-2.23548656802777,3.34869724450627,4,3.53528150935682
"ERCC-00034",20.8333333333333,0.322367451841328,-1.13206322927319,1.1214529774067,1,3.53528150935682
"ERCC-00035",89,0.656511162647652,-0.420815582112473,0.214273762852386,1,3.53528150935682
"ERCC-00039",3.66666666666667,0.271431430514727,-1.30404572946308,1.40811266880982,0.667,3.53528150935682
"ERCC-00040",1.5,0.126775449186289,-2.06533787413013,2.94550118977239,0.667,3.53528150935682
"ERCC-00042",671.333333333333,0.867387600590844,-0.142269342597912,0.0298469576824596,1,3.53528150935682
"ERCC-00043",1210.33333333333,0.000562929239797166,-7.48235662192037,32.5221573823971,0.5,3.53528150935682
"ERCC-00044",33,0.0105627677549648,-4.55041993703767,11.4109634170757,0.667,3.53528150935682
"ERCC-00046",5928.33333333333,0.000330265393601438,-8.01561400368315,38.4742774970314,0.5,3.53528150935682
"ERCC-00051",13.5,0.735666122147086,-0.306978901565393,0.122745810782606,1,3.53528150935682
"ERCC-00053",37.1666666666667,0.343789342101565,-1.06772618680022,1.02024948514628,1,3.53528150935682
"ERCC-00054",9.66666666666667,0.285875307703919,-1.25219955028151,1.3192650577981,0.667,3.53528150935682
"ERCC-00058",1.83333333333333,0.0110104123255712,-4.50891387885149,11.2157909618413,0.667,3.53528150935682
"ERCC-00059",16.1666666666667,0.113217468964538,-2.17844480564437,3.21104975931946,0.5,3.53528150935682
"ERCC-00060",361.833333333333,0.966423508127211,-0.0341531266346862,0.0018933697307737,1,3.53528150935682
"ERCC-00062",58.8333333333333,2.40151841240492e-05,-10.6368242558334,83.8457513164923,4,3.53528150935682
"ERCC-00067",1.83333333333333,0.450227851840342,-0.798001486940327,0.634052593168148,1,3.53528150935682
"ERCC-00069",3.16666666666667,0.560035592220408,-0.579754939736193,0.371646768159149,0.5,3.53528150935682
"ERCC-00071",55,0.0746846228794575,-2.59448105971435,4.27377580919041,0.667,3.53528150935682
"ERCC-00074",16744.8333333333,0.0220154472293007,-3.81601092522715,8.26497151029397,0.667,3.53528150935682
"ERCC-00076",232,0.00562472576726661,-5.18058308456603,14.6609717849846,0.667,3.53528150935682
"ERCC-00077",2,0.147932489113415,-1.91099926392729,2.5988116148725,0.5,3.53528150935682
"ERCC-00078",62.6666666666667,0.00372519591110628,-5.59263583494803,17.1056348779152,0.5,3.53528150935682
"ERCC-00079",112.833333333333,0.00497013153609538,-5.30430897320865,15.3667367739532,0.5,3.53528150935682
"ERCC-00084",38.1666666666667,0.826438391846289,-0.190629905520202,0.0515422662909764,0.667,3.53528150935682
"ERCC-00085",4.16666666666667,0.2068897585683,-1.57556919488401,1.90676719416076,4,3.53528150935682
"ERCC-00092",200.666666666667,0.000159984481184765,-8.74043374002975,48.0456716275422,4,3.53528150935682
"ERCC-00095",24,0.00307214572445805,-5.78537902847476,18.3455517520211,4,3.53528150935682
"ERCC-00096",10188.5,0.796253835752664,-0.227837254835575,0.0715601830472984,1,3.53528150935682
"ERCC-00099",31.5,0.0780064853866874,-2.55096330976581,4.15612618115686,0.667,3.53528150935682
"ERCC-00108",831.333333333333,5.57667288248358e-05,-9.79433312402871,65.7053354157395,4,3.53528150935682
"ERCC-00109",1.33333333333333,0.875366712995501,-0.133112379856348,0.0263285342682787,1,3.53528150935682
"ERCC-00111",635.333333333333,0.0551838814883263,-2.89708437036305,5.1355816849801,0.667,3.53528150935682
"ERCC-00112",82.3333333333333,0.0182804177016579,-4.00192486301709,9.00232217061523,0.5,3.53528150935682
"ERCC-00113",4638,0.0348828852485133,-3.35575896408164,6.59579691896912,0.667,3.53528150935682
"ERCC-00116",89.6666666666667,0.000272019197158647,-8.20963791636963,40.8583184875244,4,3.53528150935682
"ERCC-00130",13726.6666666667,3.484481243077e-05,-10.264606286048,75.3289802504939,4,3.53528150935682
"ERCC-00131",76,4.06380513613855e-05,-10.1108057046284,72.0484025951022,4,3.53528150935682
"ERCC-00136",476.5,9.59153522114544e-05,-9.25204450326204,56.0025485272006,4,3.53528150935682
"ERCC-00143",5.16666666666667,0.639133243464052,-0.447642327618524,0.238573482551213,0.667,3.53528150935682
"ERCC-00144",11.3333333333333,0.021751011361147,-3.82809502316543,8.31175260742167,4,3.53528150935682
"ERCC-00145",987.166666666667,0.00442241393613941,-5.42106959257432,16.0547036632162,0.667,3.53528150935682
"ERCC-00148",10.5,0.641486523327192,-0.443967103210732,0.235186921366769,1,3.53528150935682
"ERCC-00154",3.33333333333333,0.182718278038281,-1.69980977660509,2.15333181066117,4,3.53528150935682
"ERCC-00157",15,0.0574796654224504,-2.85632403855286,5.01495398449687,0.667,3.53528150935682
"ERCC-00158",1.16666666666667,0.866354210532406,-0.14346143495467,0.0303193080250826,1,3.53528150935682
"ERCC-00160",22.3333333333333,0.176842145409933,-1.7324977781709,2.22011060735165,0.5,3.53528150935682
"ERCC-00162",72.5,0.0324564780034381,-3.42785522544926,6.84322229587342,0.667,3.53528150935682
"ERCC-00163",24.1666666666667,0.00940859942293641,-4.66613117568286,11.9668591276132,0.5,3.53528150935682
"ERCC-00165",72.5,0.00928107696569835,-4.6797776865794,12.0335800151699,0.5,3.53528150935682
"ERCC-00168",1.5,0.255255767684635,-1.36548922597469,1.51607804748102,0.5,3.53528150935682
"ERCC-00170",10.6666666666667,0.0137130870091513,-4.28940464597242,10.2195772540355,4,3.53528150935682
"ERCC-00171",3888,0.974790652641375,-0.0255325462785228,0.00106697080013135,1,3.53528150935682
