"","MnCnt","Pval","LogPval","F.stat","Fold","Den.df"
"Sim0.5Fold1",0.666666666666667,0.919051220608506,-0.0844134230234417,0.0110402645675017,0.5,3.56249093191588
"Sim0.5Fold2",3,0.449605056746385,-0.799385733254196,0.635620446147186,0.5,3.56249093191588
"Sim0.5Fold3",2.16666666666667,0.524417849496121,-0.645466489731135,0.44528168468044,0.5,3.56249093191588
"Sim0.5Fold4",5.5,0.3006268880934,-1.20188535758167,1.23438554854228,0.5,3.56249093191588
"Sim0.5Fold5",6,0.0280129366866744,-3.57508885098331,7.35226733155483,0.5,3.56249093191588
"Sim0.5Fold6",6.33333333333333,0.0104776901729553,-4.55850702772559,11.4239058879522,0.5,3.56249093191588
"Sim0.5Fold7",10.5,0.0142285908320698,-4.25250189974814,10.0374502106787,0.5,3.56249093191588
"Sim0.5Fold8",15,0.108464264773163,-2.2213345171809,3.31113656076822,0.5,3.56249093191588
"Sim0.5Fold9",20.8333333333333,0.313753692761878,-1.15914701884643,1.16445619085437,0.5,3.56249093191588
"Sim0.5Fold10",23.5,0.00712389843081811,-4.94430017098116,13.3441862480483,0.5,3.56249093191588
"Sim0.5Fold11",32.1666666666667,0.159038453746603,-1.83860925853938,2.44044848802651,0.5,3.56249093191588
"Sim0.5Fold12",36.5,0.0564856631395237,-2.8737684227726,5.05993399101843,0.5,3.56249093191588
"Sim0.5Fold13",34.3333333333333,0.317292851168743,-1.14793011084301,1.14634211399203,0.5,3.56249093191588
"Sim0.5Fold14",38.8333333333333,0.125107721019997,-2.07858014462885,2.97343033307067,0.5,3.56249093191588
"Sim0.5Fold15",61.6666666666667,0.00118141962781091,-6.74103848920265,25.4420771594366,0.5,3.56249093191588
"Sim0.5Fold16",72.5,0.00385209979560554,-5.55913687790378,16.8487131869953,0.5,3.56249093191588
"Sim0.5Fold17",60.3333333333333,0.0259206042053868,-3.65271709737674,7.63505991288264,0.5,3.56249093191588
