"","MnCnt","Pval","LogPval","F.stat","Fold","Den.df"
"ERCC-00002",28703.8333333333,0.000406239769393392,-7.80856700766907,36.3858693062491,0.5,3.48056721500935
"ERCC-00003",2314.5,7.32588446431047e-05,-9.52151157137535,61.3547962733267,0.5,3.48056721500935
"ERCC-00004",3589.5,9.98258201714962e-07,-13.8172538749437,207.795279352047,4,3.48056721500935
"ERCC-00009",912,0.850813432439399,-0.161562407770107,0.0379067710107391,1,3.48056721500935
"ERCC-00013",2.5,0.933323519744255,-0.0690033861019565,0.007485764686494,0.5,3.48056721500935
"ERCC-00019",18.1666666666667,0.00200595397238901,-6.21163553467621,21.4686204246307,4,3.48056721500935
"ERCC-00022",267.166666666667,0.000661784409240246,-7.32057072086812,31.1318959349617,0.5,3.48056721500935
"ERCC-00025",57.1666666666667,0.322778101020194,-1.13079018559335,1.12056082200017,1,3.48056721500935
"ERCC-00028",1.83333333333333,0.0454230663727931,-3.09173523307333,5.74804803995301,4,3.48056721500935
"ERCC-00031",3.5,0.657114938183118,-0.41989633183631,0.213584100688989,1,3.48056721500935
"ERCC-00034",22.3333333333333,0.499141494262228,-0.694865667789193,0.504324316458094,1,3.48056721500935
"ERCC-00035",94,0.888605406101101,-0.118102004657848,0.021000506884635,1,3.48056721500935
"ERCC-00039",4.33333333333333,0.664488333875039,-0.408737957228188,0.20377560077679,0.667,3.48056721500935
"ERCC-00042",691,0.857846233000103,-0.153330411172808,0.0343715184147905,1,3.48056721500935
"ERCC-00043",1234.83333333333,7.79542971256366e-05,-9.45938783728797,60.235074685813,0.5,3.48056721500935
"ERCC-00044",33.5,0.00292724252992096,-5.83369441514886,18.7815322424081,0.667,3.48056721500935
"ERCC-00046",6039.16666666667,8.72779841629601e-05,-9.34641231291424,58.2459084029872,0.5,3.48056721500935
"ERCC-00051",13.5,0.486739038055411,-0.720027155670817,0.535126387937947,1,3.48056721500935
"ERCC-00053",33.5,0.885862783191635,-0.121193212615204,0.0220560878991928,1,3.48056721500935
"ERCC-00054",8.83333333333333,0.0645756446823975,-2.73991795658282,4.68984934232611,0.667,3.48056721500935
"ERCC-00058",3.33333333333333,0.722867203291752,-0.324529748255503,0.13562967119454,0.667,3.48056721500935
"ERCC-00059",17.6666666666667,0.0286127862823288,-3.5539015882549,7.31240665581623,0.5,3.48056721500935
"ERCC-00060",384.333333333333,0.479803190466654,-0.734379279022466,0.552980820791062,1,3.48056721500935
"ERCC-00062",57.5,1.93644871053123e-05,-10.8520697310022,90.4015291854625,4,3.48056721500935
"ERCC-00067",1.83333333333333,0.397417465703973,-0.922767999895684,0.805503843753679,1,3.48056721500935
"ERCC-00069",2,0.498024895208734,-0.697105212827978,0.507039858495309,0.5,3.48056721500935
"ERCC-00071",54.6666666666667,0.027868331894531,-3.58026429236419,7.40799304992486,0.667,3.48056721500935
"ERCC-00074",16962.3333333333,0.00422041273883204,-5.46782235030642,16.4289898437161,0.667,3.48056721500935
"ERCC-00076",243,0.00127875680411139,-6.66186691980437,25.0482881454742,0.667,3.48056721500935
"ERCC-00077",2.33333333333333,0.101934028943934,-2.28342945000655,3.47331073438896,0.5,3.48056721500935
"ERCC-00078",61.1666666666667,0.00185050345354665,-6.29229753986223,22.078445798518,0.5,3.48056721500935
"ERCC-00079",113.5,8.66080129628597e-05,-9.35411821823689,58.3796834428474,0.5,3.48056721500935
"ERCC-00084",38.5,0.722369642183977,-0.325218301317224,0.136142706420946,0.667,3.48056721500935
"ERCC-00085",5,0.12804219204373,-2.05539544403538,2.92787481278616,4,3.48056721500935
"ERCC-00092",216.666666666667,5.22262443135508e-05,-9.85992542479206,67.7923677899782,4,3.48056721500935
"ERCC-00095",21.3333333333333,0.00378276475423537,-5.57730012024092,17.108674152114,4,3.48056721500935
"ERCC-00096",10516.5,0.715792753724074,-0.334364604026301,0.143029425772038,1,3.48056721500935
"ERCC-00099",32.3333333333333,0.0780814811872026,-2.55000236693425,4.16298445621061,0.667,3.48056721500935
"ERCC-00108",904.333333333333,1.65095608138316e-05,-11.0115709016076,94.6295119746766,4,3.48056721500935
"ERCC-00109",1.5,0.98935668523219,-0.0107003599701873,0.000190216589464595,1,3.48056721500935
"ERCC-00111",648.5,0.0357031136576801,-3.33251737669779,6.53726441245115,0.667,3.48056721500935
"ERCC-00112",79.3333333333333,0.00198545666378314,-6.22190633398063,21.5455357325885,0.5,3.48056721500935
"ERCC-00113",4762.16666666667,0.0152571342526924,-4.18270806547362,9.79620740941005,0.667,3.48056721500935
"ERCC-00116",87.1666666666667,8.86437398680215e-05,-9.33088514420348,57.9771924455165,4,3.48056721500935
"ERCC-00126",1.33333333333333,0.201188458648469,-1.60351320498401,1.96396042916753,1,3.48056721500935
"ERCC-00130",13636.6666666667,1.36614805261975e-05,-11.2009303256393,99.8888707651571,4,3.48056721500935
"ERCC-00131",70.5,9.30006065607472e-06,-11.5854896356678,111.425726192564,4,3.48056721500935
"ERCC-00136",462.5,2.00060967545525e-05,-10.8194734931362,89.5594611741402,4,3.48056721500935
"ERCC-00143",6.16666666666667,0.896933216171639,-0.108773872123557,0.0179573316212051,0.667,3.48056721500935
"ERCC-00144",13.1666666666667,0.0113218282485209,-4.48102271319471,11.1349272496658,4,3.48056721500935
"ERCC-00145",1074.33333333333,0.0072831971360322,-4.92218534614177,13.3268288491102,0.667,3.48056721500935
"ERCC-00148",13.6666666666667,0.551316770078827,-0.595445734696554,0.389094015606772,1,3.48056721500935
"ERCC-00154",4.16666666666667,0.0660867856804688,-2.71678646617248,4.62405548633563,4,3.48056721500935
"ERCC-00157",15.5,0.111834488887077,-2.19073527847153,3.24672671482226,0.667,3.48056721500935
"ERCC-00160",23.1666666666667,0.242631883651339,-1.41620986632886,1.60935955277159,0.5,3.48056721500935
"ERCC-00162",75,0.0362145029298841,-3.31829560696034,6.48911851708498,0.667,3.48056721500935
"ERCC-00163",25.3333333333333,0.00997773066237777,-4.60739960305476,11.7360176070939,0.5,3.48056721500935
"ERCC-00165",72.8333333333333,0.001612109612285,-6.43021163951403,23.1523088511567,0.5,3.48056721500935
"ERCC-00168",1.5,0.218017917625672,-1.52317802862709,1.80863775319187,0.5,3.48056721500935
"ERCC-00170",11.8333333333333,0.00516469985082336,-5.26590829023399,15.2271153816437,4,3.48056721500935
"ERCC-00171",4042.16666666667,0.910421429395984,-0.0938476774468674,0.013542244578219,1,3.48056721500935
