"","MnCnt","Pval","LogPval","F.stat","Fold","Den.df"
"Sim0.5Fold1",1,0.157451223266641,-1.84863956222653,2.46649020834365,0.5,3.49817709706347
"Sim0.5Fold2",2,0.120567906395154,-2.11554214623065,3.06599780164983,0.5,3.49817709706347
"Sim0.5Fold3",4,0.0812881514743292,-2.50975501137237,4.05225095021991,0.5,3.49817709706347
"Sim0.5Fold4",2.66666666666667,0.499037185232097,-0.695074666503858,0.504458322503764,0.5,3.49817709706347
"Sim0.5Fold5",5.66666666666667,0.107776537815532,-2.22769528969145,3.33415663182143,0.5,3.49817709706347
"Sim0.5Fold6",11.1666666666667,0.083286514521387,-2.48546863341458,3.98791416289904,0.5,3.49817709706347
"Sim0.5Fold7",13.1666666666667,0.22351275019331,-1.49828681871089,1.76075111685671,0.5,3.49817709706347
"Sim0.5Fold8",13.6666666666667,0.110773367938081,-2.2002688951301,3.26768025311439,0.5,3.49817709706347
"Sim0.5Fold9",16.6666666666667,0.0101574486413438,-4.58954798634517,11.6327107322435,0.5,3.49817709706347
"Sim0.5Fold10",24.8333333333333,0.725197558438696,-0.321311166849117,0.133218037794131,0.5,3.49817709706347
"Sim0.5Fold11",27.5,0.0351125914985596,-3.34919548068662,6.58735041576706,0.5,3.49817709706347
"Sim0.5Fold12",30.8333333333333,0.0299897120205507,-3.50690088878314,7.13616716740341,0.5,3.49817709706347
"Sim0.5Fold13",48.5,0.00548887018407996,-5.205032839889,14.8519092833581,0.5,3.49817709706347
"Sim0.5Fold14",48.8333333333333,0.115365207538873,-2.15965246483057,3.17030576742915,0.5,3.49817709706347
"Sim0.5Fold15",43.5,0.0232107031548115,-3.76314176381597,8.08162615787126,0.5,3.49817709706347
"Sim0.5Fold16",71.5,0.00432966582825329,-5.44226491586898,16.2436058534198,0.5,3.49817709706347
"Sim0.5Fold17",85.5,0.018617583003582,-3.98364882202594,8.95126765171646,0.5,3.49817709706347
"Sim0.5Fold18",98.6666666666667,0.0121673997869479,-4.40899505241567,10.7864386563014,0.5,3.49817709706347
"Sim0.5Fold19",97.1666666666667,0.000175053055439116,-8.65042145605088,47.0780492677714,0.5,3.49817709706347
"Sim0.5Fold20",115.666666666667,0.00121698353915527,-6.71137999082396,25.408624876156,0.5,3.49817709706347
"Sim0.5Fold21",98,0.00983872606721827,-4.62142904101284,11.7865338595689,0.5,3.49817709706347
"Sim0.5Fold22",133.666666666667,0.000720112711902383,-7.23610281389709,30.2110860568938,0.5,3.49817709706347
"Sim0.5Fold23",132,2.60985571351366e-05,-10.5536305273424,82.6046117031985,0.5,3.49817709706347
"Sim0.5Fold24",144.5,0.00174698516920088,-6.34986373716168,22.4720323381415,0.5,3.49817709706347
"Sim0.5Fold25",161.666666666667,0.020952469978,-3.86549874085228,8.47867029980391,0.5,3.49817709706347
"Sim0.5Fold26",196.333333333333,0.000815843887848527,-7.11128753521413,29.006767765627,0.5,3.49817709706347
"Sim0.5Fold27",190.833333333333,0.000320091486652054,-8.04690370724325,39.0952242655228,0.5,3.49817709706347
"Sim0.5Fold28",214.166666666667,0.00109929074752379,-6.81309008211296,26.2874921647416,0.5,3.49817709706347
"Sim0.5Fold29",221.833333333333,0.000104248395879754,-9.16873408464832,55.0402625414984,0.5,3.49817709706347
"Sim0.5Fold30",258.166666666667,0.0140036521441969,-4.26843711594424,10.1560435604735,0.5,3.49817709706347
"Sim0.5Fold31",304.333333333333,0.000487059024561349,-7.62712524189454,34.255477088092,0.5,3.49817709706347
"Sim0.5Fold32",359.166666666667,7.27348250386694e-05,-9.52869026420446,61.255434433954,0.5,3.49817709706347
"Sim0.5Fold33",289.666666666667,0.000399225348641246,-7.8259845169426,36.4805144989259,0.5,3.49817709706347
"Sim0.5Fold34",364.666666666667,0.000390560913871277,-7.84792661142253,36.733355623634,0.5,3.49817709706347
"Sim0.5Fold35",460.166666666667,0.00135881165228161,-6.60114474629394,24.4827923587378,0.5,3.49817709706347
"Sim0.5Fold36",443.166666666667,0.000804129685219758,-7.12575000176818,29.1442590931686,0.5,3.49817709706347
"Sim0.5Fold37",458,0.00531783021784115,-5.23668991261282,15.0324935122719,0.5,3.49817709706347
"Sim0.5Fold38",445.166666666667,0.00705566091827081,-4.95392501723299,13.4731322560567,0.5,3.49817709706347
"Sim0.5Fold39",517.833333333333,0.00524922092891174,-5.24967560788316,15.10701819523,0.5,3.49817709706347
"Sim0.5Fold40",749.166666666667,4.62490345935222e-05,-9.98146996787727,69.9713442460704,0.5,3.49817709706347
"Sim0.5Fold41",705.833333333333,0.00110900006446543,-6.80429651248458,26.2105571927286,0.5,3.49817709706347
"Sim0.5Fold42",978.5,2.16981987328075e-05,-10.7382813085679,87.1110620529518,0.5,3.49817709706347
"Sim0.5Fold43",929.833333333333,0.126541119458202,-2.06718796862794,2.95337123531703,0.5,3.49817709706347
"Sim0.5Fold44",1175,0.0112316860223043,-4.48901638594407,11.1563480744116,0.5,3.49817709706347
"Sim0.5Fold45",1528,0.00494199893789035,-5.30998538633069,15.4565918268659,0.5,3.49817709706347
"Sim0.5Fold46",1537.83333333333,0.0109934564997477,-4.51045504684465,11.2568369089644,0.5,3.49817709706347
"Sim0.5Fold47",1751.5,0.000225368238096204,-8.39777487979181,43.5789317100097,0.5,3.49817709706347
"Sim0.5Fold48",3575.5,9.99935022358405e-05,-9.21040535172892,55.7295762682259,0.5,3.49817709706347
"Sim0.5Fold49",8481.66666666667,7.7574915403254e-05,-9.464266438146,60.0987204820995,0.5,3.49817709706347
"Sim4Fold1",2.66666666666667,0.106371904661592,-2.24081379087538,3.36616045710021,4,3.49817709706347
"Sim4Fold2",2,0.00890331533825887,-4.72133156169191,12.2773235734069,4,3.49817709706347
"Sim4Fold3",3.16666666666667,0.0740162621917378,-2.60347045057371,4.3050325329624,4,3.49817709706347
"Sim4Fold4",2.33333333333333,0.0528461909108053,-2.94036964285262,5.27478036485117,4,3.49817709706347
"Sim4Fold5",5.66666666666667,0.0604310010063335,-2.80625304402083,4.87707306176649,4,3.49817709706347
"Sim4Fold6",10.5,0.00399940095892816,-5.5216106893454,16.729372040882,4,3.49817709706347
"Sim4Fold7",11.8333333333333,0.00462376164064237,-5.37654669724471,15.8490858597311,4,3.49817709706347
"Sim4Fold8",14.6666666666667,0.00486655285415962,-5.325369425341,15.5466800214514,4,3.49817709706347
"Sim4Fold9",15.3333333333333,0.00170486899737753,-6.37426700558125,22.6614116429715,4,3.49817709706347
"Sim4Fold10",18.1666666666667,0.00052808370576563,-7.54625575317612,33.3839564185844,4,3.49817709706347
"Sim4Fold11",21.1666666666667,0.000261225983425177,-8.25012468838403,41.6407658008703,4,3.49817709706347
"Sim4Fold12",33.6666666666667,0.0063166259779331,-5.06457007763072,14.0690929250225,4,3.49817709706347
"Sim4Fold13",37.1666666666667,0.000142060294966339,-8.85925897804636,50.1541917660111,4,3.49817709706347
"Sim4Fold14",45.8333333333333,9.53197233651879e-05,-9.2582738079076,56.5309283819459,4,3.49817709706347
"Sim4Fold15",62.3333333333333,0.000273073294398547,-8.20577032116264,41.0733240347043,4,3.49817709706347
"Sim4Fold16",55.6666666666667,0.00064549643226953,-7.34549087477336,31.3001732110301,4,3.49817709706347
"Sim4Fold17",58.3333333333333,0.000463050291776115,-7.67767488823025,34.8099033449382,4,3.49817709706347
"Sim4Fold18",79.3333333333333,1.88159583251283e-05,-10.880805201114,90.7444680120533,4,3.49817709706347
"Sim4Fold19",78.1666666666667,0.000148725238307101,-8.81340999255774,49.4640623939868,4,3.49817709706347
"Sim4Fold20",89.5,0.00456693973932369,-5.38891193967174,15.9227822741161,4,3.49817709706347
"Sim4Fold21",97.3333333333333,0.000600163990258295,-7.41830762299528,32.043041124827,4,3.49817709706347
"Sim4Fold22",109.166666666667,3.27602164449891e-05,-10.3262956920113,77.3529704561408,4,3.49817709706347
"Sim4Fold23",106,4.64948013388279e-06,-12.27875514378,134.766248696825,4,3.49817709706347
"Sim4Fold24",133,1.9768200929675e-05,-10.8314359249389,89.4702071209551,4,3.49817709706347
"Sim4Fold25",155.166666666667,0.000483601488814133,-7.63424936062181,34.3331607897086,4,3.49817709706347
"Sim4Fold26",178.5,1.0315401604051e-05,-11.4818724782144,107.683076475243,4,3.49817709706347
"Sim4Fold27",206,2.08372824766295e-06,-13.0813518419699,168.532129885413,4,3.49817709706347
"Sim4Fold28",207.666666666667,9.20519689648306e-07,-13.8983274463355,211.193978623226,4,3.49817709706347
"Sim4Fold29",219.666666666667,1.08634998339305e-05,-11.430102027058,106.114870564745,4,3.49817709706347
"Sim4Fold30",230,4.04650915627863e-05,-10.1150708922542,72.7509799771606,4,3.49817709706347
"Sim4Fold31",271.333333333333,3.29819584110321e-05,-10.319549860818,77.2019516986324,4,3.49817709706347
"Sim4Fold32",220.666666666667,2.92429485087473e-05,-10.4398720899741,79.9368599663798,4,3.49817709706347
"Sim4Fold33",299.666666666667,9.84990912933568e-06,-11.528048328271,109.100208978098,4,3.49817709706347
"Sim4Fold34",354.666666666667,5.95627764803035e-07,-14.3336499206968,238.020675615976,4,3.49817709706347
"Sim4Fold35",378.5,9.71594840265667e-07,-13.8443269503866,208.078179282075,4,3.49817709706347
"Sim4Fold36",387.833333333333,5.14707345159382e-07,-14.4796673596311,247.739600549371,4,3.49817709706347
"Sim4Fold37",434,4.72571917890019e-07,-14.5650758944203,253.602357089677,4,3.49817709706347
"Sim4Fold38",409.666666666667,7.81769752012739e-05,-9.45653538853375,59.9612439127901,4,3.49817709706347
"Sim4Fold39",502.833333333333,4.10117498683723e-05,-10.1016519501614,72.4672922698212,4,3.49817709706347
"Sim4Fold40",508,0.000123786070584569,-8.9969557195161,52.2783859976374,4,3.49817709706347
"Sim4Fold41",650,3.15193799611747e-05,-10.3649079644506,78.2226347136825,4,3.49817709706347
"Sim4Fold42",834.5,1.1414110330727e-05,-11.3806602196334,104.637291431363,4,3.49817709706347
"Sim4Fold43",895.833333333333,0.000163220508794658,-8.72040845669572,48.0898826803977,4,3.49817709706347
"Sim4Fold44",923.833333333333,0.000142047229563993,-8.85935095309965,50.1555847091699,4,3.49817709706347
"Sim4Fold45",1033.83333333333,0.000115427186437171,-9.06687064725835,53.3872174012172,4,3.49817709706347
"Sim4Fold46",1381.16666666667,0.000177873139690632,-8.63443996012964,46.8496394949049,4,3.49817709706347
"Sim4Fold47",1813.33333333333,3.85662271923287e-05,-10.1631336076836,73.775444925346,4,3.49817709706347
"Sim4Fold48",3193.16666666667,9.82065775123941e-05,-9.22843736406902,56.0302428969295,4,3.49817709706347
"Sim4Fold49",5465.5,3.07191365025053e-06,-12.6932098517163,151.299728757809,4,3.49817709706347
"Sim1Fold1",1.5,0.601258203233779,-0.508730814023174,0.297563875688662,1,3.49817709706347
"Sim1Fold2",2,0.50167999063641,-0.689792831411839,0.498075084179745,1,3.49817709706347
"Sim1Fold3",3.66666666666667,0.241059623892072,-1.42271097404853,1.62057091783663,1,3.49817709706347
