"","MnCnt","Pval","LogPval","F.stat","Fold","Den.df"
"ERCC-00002",28199,0.00218721154791582,-6.12512781223721,20.6946027812086,0.5,3.53484306252734
"ERCC-00003",2264.16666666667,0.00047082490403067,-7.66102428671576,34.4254144809701,0.5,3.53484306252734
"ERCC-00004",3420,5.7604650179153e-06,-12.0644923542382,125.578580840903,4,3.53484306252734
"ERCC-00009",887,0.885156695682042,-0.121990592379151,0.0223212339182173,1,3.53484306252734
"ERCC-00013",2.16666666666667,0.662088201478565,-0.412356497058224,0.206817286474624,0.5,3.53484306252734
"ERCC-00019",20.1666666666667,0.00172941108559395,-6.35997434137757,22.4472576463545,4,3.53484306252734
"ERCC-00022",260,0.00117662474064739,-6.7451053285177,25.5707464629191,0.5,3.53484306252734
"ERCC-00025",51.8333333333333,0.774451721459688,-0.25559995617505,0.0882385842908588,1,3.53484306252734
"ERCC-00028",2.83333333333333,0.00761864627526125,-4.87715657923114,13.0272799330205,4,3.53484306252734
"ERCC-00031",3.5,0.694145034167814,-0.365074357358487,0.167015492721735,1,3.53484306252734
"ERCC-00033",1.16666666666667,0.106620182378346,-2.23848245704363,3.35604867289653,4,3.53484306252734
"ERCC-00034",20.8333333333333,0.322757473878189,-1.13085409265847,1.1195292601514,1,3.53484306252734
"ERCC-00035",89,0.656295378881,-0.421144318695923,0.214566585141617,1,3.53484306252734
"ERCC-00039",3.66666666666667,0.271414510251921,-1.30410806855984,1.40823364227131,0.667,3.53484306252734
"ERCC-00040",1.5,0.126398877280849,-2.06831267958059,2.95240277884519,0.667,3.53484306252734
"ERCC-00042",671.333333333333,0.867339101030656,-0.142325258679858,0.0298691584450212,1,3.53484306252734
"ERCC-00043",1210.33333333333,0.000560270226134135,-7.48709134395518,32.5735619453994,0.5,3.53484306252734
"ERCC-00044",33,0.0105788397929116,-4.54889951897045,11.404182771717,0.667,3.53484306252734
"ERCC-00046",5928.33333333333,0.000331163320253087,-8.0128988896143,38.4446031963471,0.5,3.53484306252734
"ERCC-00051",13.5,0.735959428775531,-0.306580285718931,0.122461274865347,1,3.53484306252734
"ERCC-00053",37.1666666666667,0.34388005998362,-1.06746234524407,1.01984929068967,1,3.53484306252734
"ERCC-00054",9.66666666666667,0.286427984146778,-1.25026813865926,1.31600701600222,0.667,3.53484306252734
"ERCC-00058",1.83333333333333,0.010985561590466,-4.51117345105988,11.2267566711483,0.667,3.53484306252734
"ERCC-00059",16.1666666666667,0.113502854938067,-2.17592728873767,3.20508118408882,0.5,3.53484306252734
"ERCC-00060",361.833333333333,0.966454383051692,-0.034121179531742,0.00188989403871761,1,3.53484306252734
"ERCC-00062",58.8333333333333,2.39372479769218e-05,-10.6400748194581,83.9328221367117,4,3.53484306252734
"ERCC-00067",1.83333333333333,0.450399749279962,-0.797619758817642,0.633556108232941,1,3.53484306252734
"ERCC-00069",3.16666666666667,0.560145128469989,-0.579559370846447,0.371436302332949,0.5,3.53484306252734
"ERCC-00071",55,0.0745968785065264,-2.59565661572392,4.2770541823897,0.667,3.53484306252734
"ERCC-00074",16744.8333333333,0.0221258171299578,-3.81101015634266,8.24589554968336,0.667,3.53484306252734
"ERCC-00076",232,0.0056452852079281,-5.176934558666,14.6411298861478,0.667,3.53484306252734
"ERCC-00077",2,0.147976281046376,-1.91070328126171,2.59819832791363,0.5,3.53484306252734
"ERCC-00078",62.6666666666667,0.00371341657907548,-5.59580291533898,17.1262873714513,0.5,3.53484306252734
"ERCC-00079",112.833333333333,0.00496312865409499,-5.30571896006624,15.3755820298054,0.5,3.53484306252734
"ERCC-00084",38.1666666666667,0.826496986843895,-0.190559007409621,0.0515069964627407,0.667,3.53484306252734
"ERCC-00085",4.16666666666667,0.206894678084386,-1.57554541672489,1.90674189765494,4,3.53484306252734
"ERCC-00092",200.666666666667,0.000160325897702216,-8.73830195367968,48.0186746335841,4,3.53484306252734
"ERCC-00095",24,0.0030783430397306,-5.78336380087009,18.3331381942786,4,3.53484306252734
"ERCC-00096",10188.5,0.796370167423355,-0.227691166781313,0.0714765559820517,1,3.53484306252734
"ERCC-00099",31.5,0.078160621498399,-2.54898931966204,4.15090109989899,0.667,3.53484306252734
"ERCC-00108",831.333333333333,5.56438266757691e-05,-9.79653941764907,65.7540094559957,4,3.53484306252734
"ERCC-00109",1.33333333333333,0.875202058689005,-0.133300495067409,0.0263989464100661,1,3.53484306252734
"ERCC-00111",635.333333333333,0.0551438719742493,-2.89780965506387,5.13784840471932,0.667,3.53484306252734
"ERCC-00112",82.3333333333333,0.0182451723884529,-4.0038547606071,9.01045245515268,0.5,3.53484306252734
"ERCC-00113",4638,0.0348925093258121,-3.35548310530883,6.59502314179401,0.667,3.53484306252734
"ERCC-00116",89.6666666666667,0.000271615649946945,-8.21112254263291,40.8801365603814,4,3.53484306252734
"ERCC-00130",13726.6666666667,3.50196923903371e-05,-10.2596000149733,75.2276977964499,4,3.53484306252734
"ERCC-00131",76,4.05115370866313e-05,-10.1139237580819,72.1207632492521,4,3.53484306252734
"ERCC-00136",476.5,9.59935325593933e-05,-9.25122973793883,55.9939538094439,4,3.53484306252734
"ERCC-00143",5.16666666666667,0.639054732096991,-0.447765175538643,0.238688133582873,0.667,3.53484306252734
"ERCC-00144",11.3333333333333,0.0218311279735929,-3.82441843895385,8.29774297621305,4,3.53484306252734
"ERCC-00145",987.166666666667,0.00440342211314626,-5.42537328736326,16.0811934180913,0.667,3.53484306252734
"ERCC-00148",10.5,0.642124279343855,-0.442973412494179,0.234275498765322,1,3.53484306252734
"ERCC-00154",3.33333333333333,0.182944563661159,-1.69857210284686,2.15084420076146,4,3.53484306252734
"ERCC-00157",15,0.0577533009608225,-2.85157477171901,5.00109485460677,0.667,3.53484306252734
"ERCC-00158",1.16666666666667,0.866363608782738,-0.143450586967505,0.0303151146586185,1,3.53484306252734
"ERCC-00160",22.3333333333333,0.177106362768966,-1.73100480728951,2.21706979734408,0.5,3.53484306252734
"ERCC-00162",72.5,0.0323532108315529,-3.43104201005312,6.85444996473271,0.667,3.53484306252734
"ERCC-00163",24.1666666666667,0.00944016511476596,-4.66278180800672,11.9509616820049,0.5,3.53484306252734
"ERCC-00165",72.5,0.00925979635281663,-4.68207322270231,12.0452740801482,0.5,3.53484306252734
"ERCC-00168",1.5,0.254968400414864,-1.36661566144413,1.5180987233468,0.5,3.53484306252734
"ERCC-00170",10.6666666666667,0.0137882831458639,-4.28393609486504,10.1958530291149,4,3.53484306252734
"ERCC-00171",3888,0.974788189093013,-0.0255350735406256,0.00106718352083451,1,3.53484306252734
